Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux de répo0e;Poids de la discipline;Taux d’i0ertion;% emplois cadre ou professio0 intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net me0uel régional 1er quartile;Salaire net me0uel régional 3ème quartile;cle_ETAB
2011;MASTER LMD;0941111X;Paris-Est Créteil;A24;Créteil;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;49;4;0;0;0;0;0;0;22.00;8.6;1990;0;0;0;0;0;Paris-Est Créteil_30
2011;MASTER LMD;0941111X;Paris-Est Créteil;A24;Créteil;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;69;3;0;0;0;0;0;0;22.00;8.6;1990;0;0;0;0;0;Paris-Est Créteil_30
2011;MASTER LMD;0941111X;Paris-Est Créteil;A24;Créteil;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;64;2;0;0;0;0;0;0;22.00;8.6;1990;0;0;0;0;0;Paris-Est Créteil_30
2011;MASTER LMD;0951793H;Cergy-Pontoise;A25;Versailles;DEG;Droit, économie et gestion;disc05;Autres formatio0 juridiques, économiques et de gestion;30 mois après le diplôme;50;7;90;0;0;0;0;0;19.00;8.6;1990;0;0;40;0;0;Cergy-Pontoise_30
2011;MASTER LMD;0951793H;Cergy-Pontoise;A25;Versailles;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;52;3;0;0;0;0;0;0;19.00;8.6;1990;0;0;0;0;0;Cergy-Pontoise_30
2011;MASTER E0;7200664J;Corse - Pasquale Paoli;A27;Corse;MEEF;Masters e0eignement;disc18;Masters e0eignement;30 mois après le diplôme;79;8;0;0;0;0;0;0;31.00;9.9;1580;0;0;0;0;0;Corse - Pasquale Paoli_30
2011;MASTER E0;7200664J;Corse - Pasquale Paoli;A27;Corse;MEEF;Masters e0eignement;disc20;Masters e0eignement : seco0 degré, CPE...;30 mois après le diplôme;40;1;0;0;0;0;0;0;31.00;9.9;1580;0;0;0;0;0;Corse - Pasquale Paoli_30
2011;MASTER LMD;7200664J;Corse - Pasquale Paoli;A27;Corse;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;77;10;0;0;0;0;0;0;31.00;9.9;1580;0;0;0;0;0;Corse - Pasquale Paoli_30
2011;MASTER LMD;7200664J;Corse - Pasquale Paoli;A27;Corse;SHS;Sciences humaines et sociales;disc07;E0emble sciences humaines et sociales;30 mois après le diplôme;49;19;0;0;0;0;0;0;31.00;9.9;1580;0;0;0;0;0;Corse - Pasquale Paoli_30
2011;MASTER LMD;7200664J;Corse - Pasquale Paoli;A27;Corse;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;67;4;0;0;0;0;0;0;31.00;9.9;1580;0;0;0;0;0;Corse - Pasquale Paoli_30
2011;MASTER E0;9710585J;Antilles;A32;Guadeloupe;MEEF;Masters e0eignement;disc19;Masters e0eignement : premier degré;30 mois après le diplôme;19;0;0;0;0;0;0;0;0;0;2050;0;0;0;0;0;Antilles_30
2011;MASTER LMD;9710585J;Antilles;A32;Guadeloupe;STS;Sciences, technologies et santé;disc12;E0emble sciences, technologies et santé;30 mois après le diplôme;56;0;0;0;0;0;0;0;0;0;2050;0;0;0;0;0;Antilles_30
2011;MASTER E0;9740478B;La Réunion;A28;La Réunion;MEEF;Masters e0eignement;disc18;Masters e0eignement;30 mois après le diplôme;50;32;94;95;81;83;2600;40600;42.00;0;1810;89;2;79;0;0;La Réunion_30
2011;MASTER LMD;9740478B;La Réunion;A28;La Réunion;DEG;Droit, économie et gestion;disc01;E0emble formatio0 juridiques, économiques et de gestion;30 mois après le diplôme;45;28;83;79;52;92;0;0;42.00;0;1810;30;3;71;0;0;La Réunion_30
2011;MASTER LMD;9740478B;La Réunion;A28;La Réunion;DEG;Droit, économie et gestion;disc03;Économie;30 mois après le diplôme;56;9;0;0;0;0;0;0;42.00;0;1810;0;0;0;0;0;La Réunion_30
2011;MASTER LMD;9740478B;La Réunion;A28;La Réunion;SHS;Sciences humaines et sociales;disc07;E0emble sciences humaines et sociales;30 mois après le diplôme;50;17;80;0;0;0;0;0;42.00;0;1810;0;0;83;0;0;La Réunion_30
2015;MASTER LMD;0383493R;Grenoble Alpes;A08;Grenoble;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;30 mois après le diplôme;72;13;95;99;85;99;2140;33400;35.00;7.6;1825;90;52;25;1460;2180;Grenoble Alpes_30
2015;MASTER LMD;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;DEG;Droit, économie et gestion;disc01;E0emble formatio0 juridiques, économiques et de gestion;30 mois après le diplôme;75;66;96;99;85;99;2080;32500;30.00;7.6;1825;54;36;53;1460;2180;Saint-Etienne - Jean Monnet_30
2015;MASTER LMD;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;72;25;96;75;79;100;1850;28800;30.00;7.6;1825;41;48;43;1460;2180;Saint-Etienne - Jean Monnet_18
2015;MASTER LMD;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;SHS;Sciences humaines et sociales;disc07;E0emble sciences humaines et sociales;18 mois après le diplôme;82;14;83;73;24;54;0;0;30.00;7.6;1825;39;35;63;1460;2180;Saint-Etienne - Jean Monnet_18
2015;MASTER LMD;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;SHS;Sciences humaines et sociales;disc07;E0emble sciences humaines et sociales;30 mois après le diplôme;82;14;90;95;41;84;1560;24400;30.00;7.6;1825;43;35;63;1460;2180;Saint-Etienne - Jean Monnet_30
2015;MASTER LMD;0421095M;Saint-Etienne - Jean Monnet;A10;Lyon;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;18 mois après le diplôme;90;3;0;0;0;0;0;0;30.00;7.6;1825;0;0;0;1460;2180;Saint-Etienne - Jean Monnet_18
2015;MASTER E0;0331766R;Bordeaux - Montaigne;A04;Bordeaux;MEEF;Masters e0eignement;disc18;Masters e0eignement;30 mois après le diplôme;80;100;100;100;97;100;2000;31200;18.00;8.4;1750;100;70;82;1390;2060;Bordeaux - Montaigne_30
